"UCAqmqyZCCM2pz04VWgg9gcg, shaq is funny but music is to loud"
"UC246rLddkroBu_chY1b1PTQ, nba all stars was so much fun to watch when shaq was still around. nowadays it&#39;s boring"
"UCHsOvrmamB_l7r9XSs2OQ3Q, 4 something something 3 something something 🤣🤣🤣"
"UCpEpO3dNv1WlmJBqaKpQjdg, Shaq like everybody Big brother"
"UCc2PZ2mxW4kMb62PCTlVExA, His the good guy"
"UCRbzp0cAJmXCqh-Awy5LOSQ, Is it me should or Shaq should win the sexiest man on earth and he should win sexiest toes on earth"
"UCu2gmxzI4TMQ5QlMFSl2wLQ, best guy in the nba"
"UC-ZSxWoeKt7Sn_pr02dWYYA, I love shaq so much no homo"
"UCrTYHQQoATUs-_KCvpQGogg, Big MAN Big ♥️"
"UC7KbiaI98TapW2BZ14FPBAg, RIP kobe"
"UCrfukonSIcY2viFrXCMOBvQ, must be like getting smacked by the titanic"
"UCI4oFSNkf2cs2ke580cEPBQ, isn&#39;t that Barack Obama behind Shaq 😂😂😂😂😂"
"UCcmC_o9vgi_wi8kZYEz39fA, Funniest giant in sports history"
"UCs-arlfMqRty8dGSprwxk_Q, I had possibility to see his game on 90s.."
"UCi1NNaqi0hbwKtZZwJ9QjTw, my dumbass would have forgotten to lift my kneecaps"
"UCg88tfl-KgVUNIlX8BSoHnw, MJ. King Lebron. Kobe. Sheq. Those are My Boys."
"UCBN__KbsfElRMcAlTU-JsIg, Funniest athlete ever"
"UCZYF2_sgG7L63qqxHn-dk1g, Literally just saw a 25minutes video of shaq being shaq"
"UChaewQuIcqeeELQfVhAyc3g, I hope to see Shaq"
"UCE9n7wM5emluWWMowHc1zKQ, コービーと一緒にうつってるの出てきてやられた"
"UCWTVYJgmwgo0G9299_fJCPA, Shaq:....take over the fucking game Reporter:Shaq we&#39;re on live. Shaq:I dont give a shit Reporter:I know"
"UCYwUNUnPwfRhfxo379qKYUw, Love this"
"UCfYJ2y2_O7PMLGky9W-y3xA, I miss Kobe...."
"UCi1sPOn8kO89Nyp_531FLog, sooooo funny man"
"UCx85uqG3CX77q4VsAEMDYMQ, For his size... no need to act scarry 😅"
"UCzvODVAVejsJUqX6l3FpPZQ, CRYING. LITERALLY"
"UCUQUtbuiYF7goSNm28nblDg, He kept making the mother joke to that guy lol"
"UCDVXRH2RnRkZjFhcEJOQu3g, Better than Steph!"
"UCJtPPe5ALj_hqSyt8vKqDjw, Did this video just prove the existence of Kazam?!"
"UCrYJyRDB35qNV6CXKa7i20w, Kobe 🙏RIP 😢"
"UCbXyQZwyP6ob9YsX2OA7bfQ, Na idade que está se voltasse a jogar daria um banho nessa molecada nova"
"UCbf2R1BVkfi5nzBc5UZa8Dw, G O A T!!"
"UCqEablu-5e-amU93lZpL9_g, Shaq is one of a kind... Discipline, hard work, big body, determination to win, helped him succeed on the court, that is to be appreciated, but he never be considered one of big basketball athletes like others, as he could never stay in line with intelligent players that succeeded in this game - Kareem, MJ, Pippen, Bird, Magic, Isiah, Kobe, etc...   Sorry to say, but I have not seen one intelligent statement from this guy, although he may sometimes be funny as hell, IOI... BTW: LeBron even if he had his disrespectful or goofy behaviors, on/off the court, he could always backed it up with intelligent, visionary plays, that Shaq could never do."
"UC_DcMDLxj_ggCqt14IilRjw, R. I. P Kobe Bryant ❗😢🙏🏆🥇🏀🏀🏀"
"UCjVEH0iRWZg6EYJJo7B7ILQ, enlighten me.. is shaq has an enemy in both inside and off the court? as in a totally enemy that hates shaq... is there anyone?"
"UCi5o6hT60b0NX2j9Lro_urA, He looks like agaki but sakuragiki&#39;s personality hahahahaha"
"UCr9hq98BJTG3Jke00beCy9Q, There really wasent a.d.d meds when he was a kid he did poorly in school but I&#39;m pretty sure it worked out perfectly for him and us"
"UCrfolYR9Cs3uK9HcyBxiwUw, rip. 😔"
"UCKiqrONId4aBMePABbEV4NA, Its impossible to don&#39;t like him (-:"
"UCcguVMBGucIATyINIIwfpIg, RIP Shaq 😭"
"UCFxCymyONrWQ6Sb_0-DuF5g, R.I.P Kobe man."
"UCrGY5a2wIncr38TrQso20vw, How he was able to sneak up on the female reporter and hit the buzzer? Lol."
"UC28s3dVbKxyQIcq7wJN1VmQ, Cool vid😂"
"UCEV-4kcTfsZOuQ8s1bmbVfw, BEST PART of the video @  MaaaaaaaaaaaaaaaaaMBA!!!"
"UCUv5NoX3cijLwWFaQDDnoDA, how come javale mcgee being so pissed about shaqtin???"
"UCJnmqTGx8IcgP2hstscFlSQ, the music makes it so u can watch 30 mins of this. it&#39;s fine except for the 5 parts u cant hear what he says"
"UCe96CXku5mJLcxKRs-o21DQ, Great video! Music is too loud."
"UC282zIsVTy5JIoT3FEXSJeg, Shaq own&#39;s the shaqcramento right?"
"UCgz1LSe_Ts2Ovzqct4mt3Xw, The only thing I hate about compilations like this is the music I honestly would prefer no music"
"UC5GVQcT9GR-TyZGUnGdrGNg, kobes white cap🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
"UCNGMvuhAdTr4PQaO4JfQKjg, shaqir so 🥰"
"UCG0toF4wI4CYX-a-9LweMhQ, hahaha"
"UCHU1tI0RemlGcF6yklpA5nQ, That was a lot of jelly to be jiggled for 25 minutes."
"UCuH8J1WuVlrGKkuQlU85J3g, Giannis is Shaq&#39;s long lost son"
"UCZIf9QeDodc-gEJbcpFbPDg, Love the Shaq video but hate the background music"
"UCL73esE8FaUByGyIl1Z_DGw, Shaq has beautiful legs oooo🙂🙂🙂"
"UCN79nF1P08ED89yxb2nid2A, miss shaq"
"UC2tH5xkX8A6NB6S4QRggkgQ, Ha!!!   is the best one!!!!!!!!"
"UC3RrJrtjm1xbcSxhzmX31eA, How someone could not  like This guy??!"
"UCWbH8tUSKoxnJABzm8XqfJA, I wish the background music was not so loud"
"UCB4yxYvNPDoIHw3JNII83sg, There is but not Shaw it is Lebron James"
"UCVewvNgGnRr4GeuQdpMORaQ, Shaq is silly. Barkley is funny."
"UCTEMwiEoh73D2yxcaPdUdSA, Wtf 🤣😂"
"UC4KXpvZmIoxuAj77_uj5OCA, Hey can someone give me context about what’s happening in   ? I’m really curious about it"
"UCj7tQ3Tfe0XigLucGwLuBYw, Great vid.  Can you another, minus the world&#39;s most annoying backing track?"
"UCYIcH7udVEIZtroZPoIeJcA, Wow.  Loved that ridiculous over top of everything.  It really made the video....suck."
"UCTBdjIXQs8taGF9OaEUsJWw, Plz take the background music off..it hard 2 understand what he&#39;s saying over the music"
"UCEDu3y-aZx0vpzxV1ZeQhKg, Who is that reporter at  ? KG also mocked him before for his outfit"
"UCellMOIbAtVHKaz-5AEa99w, Big people look small next to Shaq"
"UCboUT9sJ0zQqetE6TtTK-sQ, 😐☹️♥️ Kobe"
"UCRK2O240EMNqZtILyaFbSVg, S o neil will remember fo his funny action as of now i always see her funny blooper hahaha coz i am lonely person wants to smile with my problem and all movie mr. O neil my favorite very good made by god super funny godbless and more longlife"
"UCfEYjO5yf34b61X1nIGA5ZQ, Background music too loud"
"UCKdF1retm1a8sl0TlWtMcRw, I cant hear him over the music"
"UCMSH4RtXfyJsU_KZWtB55Ew, If I was that big, I would be ducking while getting off of helicopters too..."
"UCmvm9AwEHrJsRjT24IGGagA, This Mann bench pressed a grown MAN on an Exercise Ball..!! 😱😬"
"UCTdNRNtq47q0UGAAtSCDqoQ, 8 31 min dam so sad to see. rip mamba"
"UCmoEngrgR4WPCqdxZtFzaMA, Funny👍👍👍"
"UCmrAxuMf1V3DxdUHA8ZpSIg, let that music take over more"
"UC1PTPn2p62dQOsU6nMcCOPg, kobe :("
"UCOq2ZoS-rOo3sCj9TyxusJg, Money means nothing if you’re not having clean fun at no one’s expense. Lakers!"
"UCMBBjeJpS8D8WrxzeJFa9Mg, HUMBLE"
"UCjMXTG27NYVU-50-PTjsJsA, XD"
"UC9N7-EwNLEEkW4GZ3pvlR_A, A massive baby boy"
"UC3lOp9xF2bdL4L4TAW_tLTw, man that&#39;s a great montage but 25 minutes of the same guitar riff lol..."
"UCvEZSwqcnnpnCWv8LucpgGQ, it&#39;s weirs but when he smile he looks like NCT Lucas"
"UCXLr89EbrHbtzwCRJoFENcw, Boys Locker Room:"
"UCFXOEMEZCKKDPDofy8aSsXg, Please lower the music.  I had to skip it I couldn’t hear them talking."
"UCBc6fX3G6PoPXCAMPB3_csQ, What a nasty boy..."
"UC-rI7JLsU2fe__ltsbhzB4A, cameraman was probably shitting himself"
